Type,Site,Depth.cm,Distance  m,pH,Eh mV,EC mScm,AVS umolg,TotalS.oes.umolg,Porewater FeII mgL ,Porewater total Fe II mgL,Porewater FeIII mgL,Pore-water sulfate mgL,As.oes  ,Co.oes   ,Cr.oes   ,Cu.oes   ,Fe.oes   ,Mn.oes   ,Ni.oes   ,P.oes   ,Pb.oes  ,S.oes   ,Zn.oes   ,Ti.ms,V.ms,Cr.ms,Mn.ms,Fe.ms,Co.ms,Cu.ms,Zn.ms,As.ms,Rb.ms,Sr.ms,Mo.ms,Cd.ms,Ba.ms,Pb.ms,Bi.ms,Th.ms,U.ms
Dredge spoil,S 6,35,2,4.06,354,0.13,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.82,19.15,8.4,10.71,8426.09,0.87,NA,2.67,1.67,3.09,1.39,3.97,0.01,10.5,3.6,0,2.72,0.35
Dredge spoil,S 6,38,2,3.97,345,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 6,41,2,4.13,333,0.2,0.13,6.49,NA,NA,NA,NA,0,0,4.863040475,0.870114771,2545.264823,21.12062631,2.461375625,9.884496007,1.534634888,208.1147877,0.411360968,635.38,11,7.39,36.49,3493.82,0.77,2.23,2.36,0.36,3.07,1.08,2.65,0.01,4.42,2.27,0.01,4.39,0.51
Dredge spoil,S 6,44,2,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.68,5.61,4.02,24.73,1617.05,0.44,3.19,2.62,0.09,1.5,0.64,1.76,0.01,2.06,1.39,0.01,2.46,0.37
Dredge spoil,S 6,47,2,4.17,371,0.43,2.01,4.56,NA,NA,NA,NA,0,0,2.474917143,0.135815307,854.2514995,12.33143816,0.848087298,3.803806622,0.205045696,146.151551,0,402.59,4.09,3.07,21.03,1207.64,0.33,NA,1.19,NA,1.08,0.4,1.95,NA,1.36,1.09,0,3.56,0.57
Dredge spoil,S 6,50,2,4.09,327,0.5,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408.58,5.49,3.53,22.97,1839.74,0.39,0.89,1.88,0.41,1.45,0.56,3.15,0.01,2.14,1.59,NA,2.69,0.35
Dredge spoil,S 6,54,2,4.16,306,6.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 6,59,2,3.97,379,1.09,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 6,64,2,3.83,NA,1,1.58,9.56,NA,NA,NA,NA,0,0,14.42592588,1.072227943,6412.66808,45.21300223,3.569842615,3.24705441,2.630913726,306.5604147,0.970462325,939.68,14.19,8.86,66.87,7437.05,0.84,1.49,1.51,0.35,3.23,1.6,11.43,0.02,10.01,2.92,0.01,8.35,0.82
Dredge spoil,S 6,69,2,3.91,365,1.36,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019.09,10.36,9.03,70.25,6955.26,0.85,1.35,4.19,0.21,3.05,2.47,9.27,0.02,11.55,3.1,0.01,8.94,0.9
Dredge spoil,S 6,74,2,3.54,330,2.9,0.2,33.45,NA,NA,NA,NA,0,0.361446648,8.406371005,1.283368181,15808.88157,63.37116931,1.821361289,-0.018355591,6.657076523,1072.646167,1.583473489,1179.2,19.02,11.27,79.47,23018.68,1.04,2.85,2.41,0.55,3.66,2.47,10.44,0.01,16.12,6.33,0.02,9.98,1.25
Dredge spoil,S 6,79,2,4.09,251,3.4,0.23,NA,NA,NA,NA,NA,,,,,,,,,,,,1242.04,24.85,11.19,83.66,19222.34,0.94,4.06,1.77,0.71,3.4,2.81,10.56,0.03,5.34,5.54,0.01,9.69,1.38
Dredge spoil,S 6,84,2,4.31,NA,3.8,0.1,48.1,117.11,127.64,10.54,4468.63,0,0.019225398,10.20841164,1.764940415,12094.17774,75.64379487,2.432680051,5.598490683,7.478902698,1542.445439,1.852463152,1593.85,37.88,13.47,106.86,14143.02,1.18,3.36,2.69,0.62,4.29,3.93,11.28,0.02,6.11,6.76,0.01,11.97,1.88
Dredge spoil,S 6,89,2,5.46,164,3.8,0.01,24.59,108.96,116.23,7.26,4900,0,0.43945457,11.03097564,1.682353733,5011.583595,70.16261827,2.486638176,7.606110697,5.793793495,788.6598969,1.712202835,1163.37,22.49,12.96,80.19,6046.22,1.19,2.67,2.63,0.47,4.84,4.27,10.61,0.02,4.16,5.06,0.02,10.56,1.97
Dredge spoil,S 6,94,2,5.45,NA,5.6,0.67,NA,50.49,58.02,7.53,4576.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1235.3,44.38,12.97,83.42,5386.26,1.53,6.46,4.06,0.33,4.58,4.5,11.13,0.03,3.84,3.5,0.02,11.49,2.61
Dredge spoil,S 6,99,2,4.18,244,5,0.73,NA,65.78,84.35,18.56,5978.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862.04,54.41,25.22,153.4,25544.24,15.03,11.81,4.18,8.17,7.37,3.55,33.08,0.14,6.69,13.99,0.03,13.62,8.35
Dredge spoil,S 6,104,2,4.85,222,4.5,0.02,NA,95.3,133.93,38.63,5580.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664.24,66.83,25.19,108.28,22560.06,6.79,8.98,4.33,5.12,9.4,5.65,9.98,0.05,7.21,17.36,0.04,18.51,7.28
Dredge spoil,S 6,107,2,4.89,213,6.1,0.94,637.05,75.81,85.19,9.37,5138.46,2.321855538,3.885944377,21.56252259,8.819093377,22366.38445,80.80994528,9.373405488,17.49178536,19.91678463,20430.05057,2.071582291,670.41,79.22,30.67,110.66,27062.08,5.62,12.75,4.6,4.98,11.71,6.31,8.59,0.05,7.91,16.98,0.04,19.07,5.32
Dredge spoil,S 6,112,2,4.95,NA,5.9,0.45,NA,66.34,71.78,5.44,4888.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.9,112.48,38.99,117.36,40385.32,6.16,16.18,3.51,6.22,13.8,7.19,9.81,0.02,7.83,19.52,0.04,22.79,5.71
Dredge spoil,S 6,115,2,4.84,246,5.7,0.44,NA,40.11,49.21,9.1,6696.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644.72,126.52,38.86,118.24,42326.59,6.34,15.89,3.79,7.2,14.01,6.4,9.59,0.03,9.52,19.92,0.04,24.44,5.71
Dredge spoil,S 6,118,2,4.43,247,3.6,0.27,720.08,NA,NA,NA,NA,2.047120005,2.956730093,22.19882811,8.761048163,27498.06924,67.2988783,9.025371606,15.68160448,18.96271032,23092.88134,1.263121675,696.52,122.4,37.21,115.79,41205.94,5.71,13.34,2.96,6.59,12.14,5.56,9.62,0.02,8.96,19.6,0.04,22.89,5.23
Dredge spoil,S 6,122,2,4.98,253,4.6,0.21,NA,65.79,76.19,10.4,5965.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.97,104.39,35.24,94.99,37032.68,5.72,14.14,6.58,5.49,12.52,6.06,7.5,0.03,9.05,18.29,0.04,24.77,5.66
Dredge spoil,S 7,6,2,4.57,274,0.2,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,7.5,3,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.6,14.1,5.6,8.67,9293.84,0.57,1.14,1.09,1.37,1.48,1.13,1.34,NA,2.2,0.86,0,2.4,1.13
Dredge spoil,S 7,9,3,4.1,364,0.3,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,11,3,3.95,372,0.45,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,14,3,3.98,378,0.31,0.22,12.31,NA,NA,NA,NA,0.616391606,0,3.576653059,0.548435929,4235.499297,17.53439272,2.51194675,17.27927835,1.141052281,394.8584247,0,405.86,13.83,6.66,27.63,6704.34,0.74,1.88,1.57,2.21,2.14,1.16,1.56,0.01,4.96,1.83,0,4.49,0.54
Dredge spoil,S 7,17.5,3,4.06,363,0.45,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,20.5,3,NA,NA,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.64,5.64,5.02,19.26,4214.01,0.68,0.6,1.22,0.58,1.86,0.96,1.44,0,3.47,1.68,0,2.82,0.31
Dredge spoil,S 7,23.5,3,4.09,346,0.37,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,26.5,3,4.1,312,0.4,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,30,3,3.96,385,0.62,0.2,5.65,NA,NA,NA,NA,0,0,2.673341214,0.734383444,4911.425108,12.28477033,1.794427676,7.520131457,0.286023144,181.1520267,0,387.11,14.33,6.61,24.17,7474.97,0.51,3.71,1.83,0.26,1.43,0.53,1.81,0,2.27,1.13,0,3.3,0.43
Dredge spoil,S 7,35,3,3.79,355,0.7,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738.99,19.93,7.61,48.19,10551.23,0.64,1.82,2.82,0.21,1.85,0.69,4.35,0.01,2.12,1.8,0.01,5.32,0.55
Dredge spoil,S 7,40,3,3.61,354,1.2,0.39,11.46,NA,NA,NA,NA,0,0,6.841564792,1.707866626,14577.71951,39.65454097,1.645668129,4.197570152,3.785425125,367.509253,0.532725092,744.96,29.34,9.12,46.24,17944.94,0.64,2.47,1.45,0.07,2.07,1,6.52,0.01,3.91,2.08,0,5.89,0.65
Dredge spoil,S 7,45,3,3.52,354,1.68,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dredge spoil,S 7,50,3,3.74,295,2.4,0.52,19.77,NA,NA,NA,NA,0,0,8.777019521,2.208743301,11566.93582,57.52720334,2.068589938,3.746298354,3.889597751,634.149777,0.953734238,1190.05,31.04,13.47,79.44,15459.11,0.89,4.07,2.1,0.4,3.18,3.3,14.82,0.04,11.73,3.93,0.01,8.52,1.24
Dredge spoil,S 7,53,3,3.69,272,2.4,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136.7,35.8,12.91,75.85,13345.39,0.89,3.17,2.18,0.05,3.28,4.45,12.09,0.01,10.41,4.13,0.01,8.09,1.29
Dredge spoil,S 7,56,3,3.85,271,3.3,0.27,21.55,NA,NA,NA,NA,0,0.109386895,9.838545393,1.712511905,7513.587292,66.56043069,3.206400604,6.488237817,9.301191311,691.0324418,1.836263888,1307.21,37.66,15.35,99.94,10337.14,1.19,3.24,2.63,NA,4.33,2.73,9.24,0.02,15.8,9.24,0.01,10.23,1.66
